instance_id,city_id,cluster_pattern,scale,instance_seed,lower_bound,upper_bound,gap,status,bks_technicians,bks_travel_time_min,bks_waiting_time_min,method,run_seed,source_run_seeds,validator_status,solution_file,solution_sha256,dataset_release,source_reference_batch
GISB-BJS-CZ-1000-S078,BJS,CZ,1000,78,5,6,1,K-OPEN,6,8486.926264,227.769479,IGA,303.0,303,PASS,solutions/GISB-BJS-CZ-1000-S078_solution.csv,02b101e0b625f78699890fd1780459894dc1a8d2aaa210bd546f6a95424b60b0,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CZ-1000-S090,BJS,CZ,1000,90,5,6,1,K-OPEN,6,11161.699722,154.728149,IGA,303.0,303,PASS,solutions/GISB-BJS-CZ-1000-S090_solution.csv,29355e762d59f9b5f12afb578c41c211845df28887eae7d4d8cfa546071c2a58,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CZ-500-S012,BJS,CZ,500,12,3,3,0,K-OPT,3,4107.847691,84.016287,IGA,303.0,303,PASS,solutions/GISB-BJS-CZ-500-S012_solution.csv,14c29eeb6ded6d6f57c2f9b03a686693b8d8b9fb34393205f0c17430bfc958ba,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CZ-500-S034,BJS,CZ,500,34,3,3,0,K-OPT,3,3087.332843,76.440314,IGA,404.0,404,PASS,solutions/GISB-BJS-CZ-500-S034_solution.csv,4096c047f41bc3328b5e7c69b881ad61412f8a3db5b7ed7cfbc8cb9b419dad6a,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CZ-500-S056,BJS,CZ,500,56,3,3,0,K-OPT,3,2506.318698,323.707785,IGA,101.0,101,PASS,solutions/GISB-BJS-CZ-500-S056_solution.csv,8dc2ef3b8d690a1e5052cb36278cfd74456a0b9338edccf659989bd242851157,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CZ-500-S078,BJS,CZ,500,78,3,3,0,K-OPT,3,3082.79089,43.120304,IGA,303.0,303,PASS,solutions/GISB-BJS-CZ-500-S078_solution.csv,f8fbf9795e12a3eef5e34500f3d6bbee18af382bd6ca02751c91ac392d6c7154,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CZ-500-S090,BJS,CZ,500,90,3,3,0,K-OPT,3,3516.243149,32.923539,IGA,505.0,505,PASS,solutions/GISB-BJS-CZ-500-S090_solution.csv,3287c10e638b677d3d570b1c2dfbbc1878ac080118fb14cf970e058db1a458ed,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CH-100-S012,CKG,CH,100,12,1,1,0,K-OPT,1,725.555966,185.525307,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-CKG-CH-100-S012_solution.csv,b1b08cd7c335e022eb9abb3f3643501829330c0adcc8784bde9afa11d8e05ad3,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CH-100-S034,CKG,CH,100,34,1,1,0,K-OPT,1,893.583274,0.0,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-CKG-CH-100-S034_solution.csv,e59878b9b7327dd0ba8b1884d5b1ded6987424c6f37773ac072ece2aae498fee,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CH-100-S056,CKG,CH,100,56,1,1,0,K-OPT,1,832.845625,30.06738,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-CKG-CH-100-S056_solution.csv,18c31e9052cf25729f3b745bc8702b0a0e89e784194dbec38d60a350fbd6a7ca,GIS-B-ME-v1.0,20260909_reference_after_small45
