city_code,building_anchor_id,legacy_building_id,building_osm_id,geometry_hausdorff_degrees
BJS,B00311,way/16272,way/637287847,1.4210854715202004e-14
BJS,B00312,way/15934,way/637263931,1.4210854715202004e-14
BJS,B00313,way/18168,way/681798915,1.5888218580782548e-14
BJS,B00314,way/28876,way/1318440575,1.5888218580782548e-14
BJS,B00315,way/17155,way/638714863,1.4210854715202004e-14
BJS,B00316,way/17056,way/638714746,7.105427357601002e-15
BJS,B00317,way/11761,way/520815237,1.4210854715202004e-14
BJS,B00318,way/11395,way/520616836,1.5888218580782548e-14
BJS,B00319,way/29687,way/1385522617,1.4210854715202004e-14
BJS,B00320,way/30617,way/1498715281,1.5888218580782548e-14
BJS,B00321,way/2802,way/256565580,1.5888218580782548e-14
BJS,B00322,way/29722,way/1390462580,1.4210854715202004e-14
BJS,B00323,way/28022,way/1318060594,1.5888218580782548e-14
BJS,B00324,way/28440,way/1318117895,1.4210854715202004e-14
BJS,B00325,way/25046,way/1038124178,2.0097183471152322e-14
BJS,B00326,way/18159,way/679979928,1.4210854715202004e-14
BJS,B00327,way/29318,way/1325469240,1.4210854715202004e-14
BJS,B00328,way/29166,way/1320434437,1.5888218580782548e-14
BJS,B00329,way/57,relation/7025522,1.5888218580782548e-14
BJS,B00330,way/9996,way/479265523,7.105427357601002e-15
BJS,B00331,way/8754,way/478341948,1.5888218580782548e-14
BJS,B00332,way/27793,way/1307951435,1.4210854715202004e-14
BJS,B00333,way/28310,way/1318108274,1.5888218580782548e-14
BJS,B00334,way/278,way/36945873,1.4210854715202004e-14
BJS,B00335,way/31363,way/1527484322,1.4210854715202004e-14
BJS,B00336,way/12981,way/532863315,1.4210854715202004e-14
BJS,B00337,way/10877,way/519416335,2.0097183471152322e-14
BJS,B00338,way/24004,way/982864844,1.5888218580782548e-14
BJS,B00339,way/10785,way/491272351,1.4210854715202004e-14
BJS,B00340,way/8641,way/478330676,2.0097183471152322e-14
BJS,B00341,way/30728,way/1508784532,0.0
BJS,B00342,way/27723,way/1307951364,1.4210854715202004e-14
BJS,B00343,way/5255,way/352272532,1.4210854715202004e-14
BJS,B00344,way/16668,way/638294717,1.4210854715202004e-14
BJS,B00345,way/24804,way/1022729910,1.5888218580782548e-14
BJS,B00346,way/9620,way/478581635,1.5888218580782548e-14
BJS,B00347,way/2997,way/257208855,1.5888218580782548e-14
BJS,B00348,way/24184,way/988018088,1.5888218580782548e-14
BJS,B00349,way/13397,way/584628782,1.4210854715202004e-14
BJS,B00350,way/8582,way/478326341,1.4210854715202004e-14
BJS,B00351,way/7661,way/476106704,1.5888218580782548e-14
BJS,B00352,way/10607,way/481646124,1.5888218580782548e-14
BJS,B00353,way/19480,way/764431901,2.0097183471152322e-14
BJS,B00354,way/20098,way/764446083,1.4210854715202004e-14
BJS,B00355,way/25205,way/1055117855,1.4210854715202004e-14
BJS,B00356,way/12784,way/525986561,1.4210854715202004e-14
BJS,B00357,way/12796,way/525986575,1.4210854715202004e-14
BJS,B00358,way/12118,way/521057806,7.105427357601002e-15
BJS,B00359,way/17428,way/650010556,1.4210854715202004e-14
BJS,B00360,way/29476,way/1353535293,1.4210854715202004e-14
BJS,B00361,way/7304,way/468890398,1.4210854715202004e-14
BJS,B00362,way/5836,way/371402253,1.4210854715202004e-14
BJS,B00363,way/19270,way/764421037,1.4210854715202004e-14
BJS,B00364,way/19869,way/764441387,1.4210854715202004e-14
BJS,B00365,way/9092,way/478472176,2.0097183471152322e-14
BJS,B00366,way/22047,way/893287709,1.4210854715202004e-14
BJS,B00367,way/9211,way/478494802,1.5888218580782548e-14
BJS,B00368,way/17649,way/654219327,7.105427357601002e-15
BJS,B00369,way/236,way/26390168,1.4210854715202004e-14
BJS,B00370,way/14795,way/636389390,7.105427357601002e-15
BJS,B00371,way/14869,way/636389467,1.5888218580782548e-14
BJS,B00372,way/4820,way/347403595,1.5888218580782548e-14
BJS,B00373,way/5249,way/351882952,1.4210854715202004e-14
BJS,B00374,way/19993,way/764441513,1.5888218580782548e-14
BJS,B00375,way/23725,way/950261453,1.4210854715202004e-14
BJS,B00376,way/3902,way/276202116,1.5888218580782548e-14
BJS,B00377,way/9187,way/478478233,1.5888218580782548e-14
BJS,B00378,way/23408,way/929653199,7.105427357601002e-15
BJS,B00379,way/2713,way/255789060,1.4210854715202004e-14
BJS,B00380,way/6037,way/384270915,2.0097183471152322e-14
BJS,B00381,way/25385,way/1075301196,1.5888218580782548e-14
BJS,B00382,way/5096,way/351304648,1.4210854715202004e-14
BJS,B00383,way/4286,way/300569508,1.4210854715202004e-14
BJS,B00384,way/13250,way/563367524,1.5888218580782548e-14
BJS,B00385,way/1306,way/107087172,0.0
BJS,B00386,way/8448,way/478014195,1.5888218580782548e-14
BJS,B00387,way/22682,way/893304116,1.5888218580782548e-14
BJS,B00388,way/14187,way/632245439,1.4210854715202004e-14
BJS,B00389,way/6521,way/426412779,1.5888218580782548e-14
BJS,B00390,way/23183,way/917265106,1.4210854715202004e-14
BJS,B00391,way/21807,way/862417537,1.5888218580782548e-14
BJS,B00392,way/13681,way/624191411,1.4210854715202004e-14
BJS,B00393,way/23531,way/940020360,1.5888218580782548e-14
BJS,B00394,way/24786,way/1021970990,1.4210854715202004e-14
BJS,B00395,way/29617,way/1369817058,1.5888218580782548e-14
BJS,B00396,way/7602,way/475423281,1.4210854715202004e-14
BJS,B00397,way/20682,way/764537221,1.4210854715202004e-14
BJS,B00398,way/24104,way/987112099,2.1316282072803006e-14
BJS,B00399,way/10446,way/479314863,1.5888218580782548e-14
BJS,B00400,way/20517,way/764531364,1.4210854715202004e-14
BJS,B00401,way/21144,way/764625712,1.4210854715202004e-14
BJS,B00402,way/15823,way/637263818,1.4210854715202004e-14
BJS,B00403,way/13000,way/539793908,1.5888218580782548e-14
BJS,B00404,way/17094,way/638714785,1.4210854715202004e-14
BJS,B00405,way/25389,way/1079608657,1.4210854715202004e-14
BJS,B00406,way/24343,way/991638902,1.5888218580782548e-14
BJS,B00407,way/1897,way/224716832,1.5888218580782548e-14
BJS,B00408,way/21360,way/764628474,1.5888218580782548e-14
BJS,B00409,way/15809,way/637263800,1.4210854715202004e-14
BJS,B00410,way/15568,way/637263493,1.5888218580782548e-14
